nome_categoria;url
smwspparapmes;http://socialmedia.8020mkt.com.br/palestras/SMWSPparaPMEs/740
snapchat;http://socialmedia.8020mkt.com.br/palestras/snapchat/138
social commerce;http://socialmedia.8020mkt.com.br/palestras/social_commerce/830
social media;http://socialmedia.8020mkt.com.br/palestras/social_media/754
social selling;http://socialmedia.8020mkt.com.br/palestras/social_selling/541
socialização;http://socialmedia.8020mkt.com.br/palestras/socializacao/815
socialmedia;http://socialmedia.8020mkt.com.br/palestras/socialmedia/766
sociedade;http://socialmedia.8020mkt.com.br/palestras/sociedade/467
software livre;http://socialmedia.8020mkt.com.br/palestras/software_livre/169
sonhos;http://socialmedia.8020mkt.com.br/palestras/Sonhos/776
startups;http://socialmedia.8020mkt.com.br/palestras/startups/235
stories;http://socialmedia.8020mkt.com.br/palestras/stories/488
storytelling;http://socialmedia.8020mkt.com.br/palestras/storytelling/308
sucesso;http://socialmedia.8020mkt.com.br/palestras/sucesso/216
superação;http://socialmedia.8020mkt.com.br/palestras/Superacao/723
tecnologia;http://socialmedia.8020mkt.com.br/palestras/tecnologia/142
tendências;http://socialmedia.8020mkt.com.br/palestras/tendencias/38
terceiro setor;http://socialmedia.8020mkt.com.br/palestras/terceiro_setor/357
território;http://socialmedia.8020mkt.com.br/palestras/territorio/35
tinformados;http://socialmedia.8020mkt.com.br/palestras/Tinformados/743
tinordeste;http://socialmedia.8020mkt.com.br/palestras/TINordeste/742
tomada de decisão;http://socialmedia.8020mkt.com.br/palestras/Tomada_de_decisao/775
trade;http://socialmedia.8020mkt.com.br/palestras/trade/187
traduções;http://socialmedia.8020mkt.com.br/palestras/traducoes/82
transformação;http://socialmedia.8020mkt.com.br/palestras/transformacao/434
transformação digital;http://socialmedia.8020mkt.com.br/palestras/transformacao_digital/796
transformandoleadsemclientes;http://socialmedia.8020mkt.com.br/palestras/transformandoleadsemclientes/822
transmídia;http://socialmedia.8020mkt.com.br/palestras/transmidia/550
transumanismo;http://socialmedia.8020mkt.com.br/palestras/transumanismo/673
umretrato;http://socialmedia.8020mkt.com.br/palestras/umretrato/669
unfriend;http://socialmedia.8020mkt.com.br/palestras/unfriend/788
usandoalingua;http://socialmedia.8020mkt.com.br/palestras/usandoalingua/716
ux;http://socialmedia.8020mkt.com.br/palestras/UX/66
vendas;http://socialmedia.8020mkt.com.br/palestras/vendas/238
vida;http://socialmedia.8020mkt.com.br/palestras/Vida/824
vigilancia;http://socialmedia.8020mkt.com.br/palestras/vigilancia/583
violência;http://socialmedia.8020mkt.com.br/palestras/violencia/448
visibilidade;http://socialmedia.8020mkt.com.br/palestras/visibilidade/87
whatsapp;http://socialmedia.8020mkt.com.br/palestras/whatsapp/706
writers block;http://socialmedia.8020mkt.com.br/palestras/writers_block/229
youtube;http://socialmedia.8020mkt.com.br/palestras/youtube/114
